Scenario_hourly_rate_usd_per_hr,Month_block_4wk,Weeks_in_block,Uber_gross_usd,Tips_usd,Total_gross_usd,Total_weekly_costs_usd,Tax_reserve_usd,Pay_dad_usd,Net_after_dad_usd,Yoga_income_usd,Net_after_dad_plus_yoga_usd,Cumulative_net_after_dad_plus_yoga_usd
20,1,4,3840,72.0,3912.0,1809.3200000000002,1536.0,386.86,179.81999999999982,480.0,659.82,659.82
20,2,4,3840,72.0,3912.0,1809.3200000000002,1536.0,0.0,566.6799999999998,480.0,1046.68,1706.5
20,3,4,3840,72.0,3912.0,1809.3200000000002,1536.0,0.0,566.6799999999998,480.0,1046.68,2753.18
20,4,4,3840,72.0,3912.0,1809.3200000000002,1536.0,0.0,566.6799999999998,480.0,1046.68,3799.86
20,5,4,3840,72.0,3912.0,1809.3200000000002,1536.0,0.0,566.6799999999998,480.0,1046.68,4846.54
20,6,4,3840,72.0,3912.0,1809.3200000000002,1536.0,0.0,566.6799999999998,480.0,1046.68,5893.22
20,7,2,1920,36.0,1956.0,904.6600000000001,768.0,0.0,283.3399999999999,240.0,523.34,6416.56
23,1,4,4416,72.0,4488.0,1809.3200000000002,1766.4,386.86,525.4199999999997,480.0,1005.42,1005.42
23,2,4,4416,72.0,4488.0,1809.3200000000002,1766.4,0.0,912.2799999999997,480.0,1392.28,2397.7
23,3,4,4416,72.0,4488.0,1809.3200000000002,1766.4,0.0,912.2799999999997,480.0,1392.28,3789.98
23,4,4,4416,72.0,4488.0,1809.3200000000002,1766.4,0.0,912.2799999999997,480.0,1392.28,5182.26
23,5,4,4416,72.0,4488.0,1809.3200000000002,1766.4,0.0,912.2799999999997,480.0,1392.28,6574.54
23,6,4,4416,72.0,4488.0,1809.3200000000002,1766.4,0.0,912.2799999999997,480.0,1392.28,7966.82
23,7,2,2208,36.0,2244.0,904.6600000000001,883.2,0.0,456.1399999999999,240.0,696.14,8662.96
26,1,4,4992,72.0,5064.0,1809.3200000000002,1996.8000000000002,386.86,871.0199999999996,480.0,1351.02,1351.02
26,2,4,4992,72.0,5064.0,1809.3200000000002,1996.8000000000002,0.0,1257.8799999999997,480.0,1737.88,3088.9
26,3,4,4992,72.0,5064.0,1809.3200000000002,1996.8000000000002,0.0,1257.8799999999997,480.0,1737.88,4826.78
26,4,4,4992,72.0,5064.0,1809.3200000000002,1996.8000000000002,0.0,1257.8799999999997,480.0,1737.88,6564.66
26,5,4,4992,72.0,5064.0,1809.3200000000002,1996.8000000000002,0.0,1257.8799999999997,480.0,1737.88,8302.54
26,6,4,4992,72.0,5064.0,1809.3200000000002,1996.8000000000002,0.0,1257.8799999999997,480.0,1737.88,10040.42
26,7,2,2496,36.0,2532.0,904.6600000000001,998.4000000000001,0.0,628.9399999999998,240.0,868.94,10909.36
