Week,Scenario_hourly_rate_usd_per_hr,Hours_per_week,Uber_gross_usd,Tips_usd,Total_gross_usd,Rental_usd,Charging_usd,Buffer_usd,Total_weekly_costs_usd,Net_before_dad_usd,Tax_reserve_rate_on_uber_gross,Tax_reserve_usd,Net_after_tax_reserve_usd,Pay_dad_usd_week1_only,Net_after_dad_usd,Cumulative_net_after_dad_usd
1,20,48,960,18.0,978.0,386.86,15.47,50.0,452.33000000000004,525.67,0.4,384.0,141.66999999999996,386.86,-245.19000000000005,-245.19
2,20,48,960,18.0,978.0,386.86,15.47,50.0,452.33000000000004,525.67,0.4,384.0,141.66999999999996,0.0,141.66999999999996,-103.52
3,20,48,960,18.0,978.0,386.86,15.47,50.0,452.33000000000004,525.67,0.4,384.0,141.66999999999996,0.0,141.66999999999996,38.15
4,20,48,960,18.0,978.0,386.86,15.47,50.0,452.33000000000004,525.67,0.4,384.0,141.66999999999996,0.0,141.66999999999996,179.82
5,20,48,960,18.0,978.0,386.86,15.47,50.0,452.33000000000004,525.67,0.4,384.0,141.66999999999996,0.0,141.66999999999996,321.49
6,20,48,960,18.0,978.0,386.86,15.47,50.0,452.33000000000004,525.67,0.4,384.0,141.66999999999996,0.0,141.66999999999996,463.16
7,20,48,960,18.0,978.0,386.86,15.47,50.0,452.33000000000004,525.67,0.4,384.0,141.66999999999996,0.0,141.66999999999996,604.83
8,20,48,960,18.0,978.0,386.86,15.47,50.0,452.33000000000004,525.67,0.4,384.0,141.66999999999996,0.0,141.66999999999996,746.5
9,20,48,960,18.0,978.0,386.86,15.47,50.0,452.33000000000004,525.67,0.4,384.0,141.66999999999996,0.0,141.66999999999996,888.17
10,20,48,960,18.0,978.0,386.86,15.47,50.0,452.33000000000004,525.67,0.4,384.0,141.66999999999996,0.0,141.66999999999996,1029.84
11,20,48,960,18.0,978.0,386.86,15.47,50.0,452.33000000000004,525.67,0.4,384.0,141.66999999999996,0.0,141.66999999999996,1171.51
12,20,48,960,18.0,978.0,386.86,15.47,50.0,452.33000000000004,525.67,0.4,384.0,141.66999999999996,0.0,141.66999999999996,1313.18
13,20,48,960,18.0,978.0,386.86,15.47,50.0,452.33000000000004,525.67,0.4,384.0,141.66999999999996,0.0,141.66999999999996,1454.85
14,20,48,960,18.0,978.0,386.86,15.47,50.0,452.33000000000004,525.67,0.4,384.0,141.66999999999996,0.0,141.66999999999996,1596.52
15,20,48,960,18.0,978.0,386.86,15.47,50.0,452.33000000000004,525.67,0.4,384.0,141.66999999999996,0.0,141.66999999999996,1738.19
16,20,48,960,18.0,978.0,386.86,15.47,50.0,452.33000000000004,525.67,0.4,384.0,141.66999999999996,0.0,141.66999999999996,1879.86
17,20,48,960,18.0,978.0,386.86,15.47,50.0,452.33000000000004,525.67,0.4,384.0,141.66999999999996,0.0,141.66999999999996,2021.53
18,20,48,960,18.0,978.0,386.86,15.47,50.0,452.33000000000004,525.67,0.4,384.0,141.66999999999996,0.0,141.66999999999996,2163.2
19,20,48,960,18.0,978.0,386.86,15.47,50.0,452.33000000000004,525.67,0.4,384.0,141.66999999999996,0.0,141.66999999999996,2304.87
20,20,48,960,18.0,978.0,386.86,15.47,50.0,452.33000000000004,525.67,0.4,384.0,141.66999999999996,0.0,141.66999999999996,2446.54
21,20,48,960,18.0,978.0,386.86,15.47,50.0,452.33000000000004,525.67,0.4,384.0,141.66999999999996,0.0,141.66999999999996,2588.21
22,20,48,960,18.0,978.0,386.86,15.47,50.0,452.33000000000004,525.67,0.4,384.0,141.66999999999996,0.0,141.66999999999996,2729.88
23,20,48,960,18.0,978.0,386.86,15.47,50.0,452.33000000000004,525.67,0.4,384.0,141.66999999999996,0.0,141.66999999999996,2871.55
24,20,48,960,18.0,978.0,386.86,15.47,50.0,452.33000000000004,525.67,0.4,384.0,141.66999999999996,0.0,141.66999999999996,3013.22
25,20,48,960,18.0,978.0,386.86,15.47,50.0,452.33000000000004,525.67,0.4,384.0,141.66999999999996,0.0,141.66999999999996,3154.89
